_id,FinancialYear,CA,Dataset,DatasetQF,DischargesRate,PatientsRate
529,2002/03,S12000018,SMR01, ,304.55,250.81
530,2002/03,S12000018,SMR04, ,907.68,609.1
531,2002/03,S12000018,Total,d,1206.26,818.11
532,2002/03,S12000019,SMR01, ,129.82,86.55
533,2002/03,S12000019,SMR04, ,599.65,389.47
534,2002/03,S12000019,Total,d,729.48,463.65
535,2002/03,S12000020,SMR01, ,193.86,165.36
536,2002/03,S12000020,SMR04, ,501.77,325.01
537,2002/03,S12000020,Total,d,695.63,473.26
538,2002/03,S12000013,SMR01, ,683.11,531.31
539,2002/03,S12000013,SMR04, ,740.04,398.48
540,2002/03,S12000013,Total,d,1423.15,872.87
541,2002/03,S12000021,SMR01, ,209.73,176.61
542,2002/03,S12000021,SMR04, ,540.88,349.55
543,2002/03,S12000021,Total,d,750.61,511.44
544,2002/03,S12000050,SMR01, ,176.73,133.33
545,2002/03,S12000050,SMR04, ,506.95,356.57
546,2002/03,S12000050,Total,d,683.68,475.94
547,2002/03,S12000023,SMR01, ,336.26,284.53
548,2002/03,S12000023,SMR04, ,232.8,181.07
549,2002/03,S12000023,Total,d,569.06,413.86
550,2002/03,S12000048,SMR01, ,107.3,96.2
551,2002/03,S12000048,SMR04, ,584.62,425.52
552,2002/03,S12000048,Total,d,691.93,506.92
553,2002/03,S12000038,SMR01, ,197.33,171.21
554,2002/03,S12000038,SMR04, ,710.97,504.93
555,2002/03,S12000038,Total,d,908.3,655.83
556,2002/03,S12000026,SMR01, ,278.99,227.84
557,2002/03,S12000026,SMR04, ,650.98,437.09
558,2002/03,S12000026,Total,d,929.97,632.38
559,2002/03,S12000027,SMR01, ,454.55,318.18
560,2002/03,S12000027,SMR04, ,204.55,113.64
561,2002/03,S12000027,Total,d,659.09,363.64
562,2002/03,S12000028,SMR01, ,264.12,210.4
563,2002/03,S12000028,SMR04, ,604.35,425.28
564,2002/03,S12000028,Total,d,868.48,604.35
565,2002/03,S12000029,SMR01, ,151.93,112.3
566,2002/03,S12000029,SMR04, ,563.13,394.69
567,2002/03,S12000029,Total,d,716.72,492.12
568,2002/03,S12000030,SMR01, ,98.12,92.35
569,2002/03,S12000030,SMR04, ,519.45,352.07
570,2002/03,S12000030,Total,d,611.8,432.88
571,2002/03,S12000039,SMR01, ,231.08,182.72
572,2002/03,S12000039,SMR04, ,714.75,478.29
573,2002/03,S12000039,Total,d,951.2,644.88
574,2002/03,S12000040,SMR01, ,199.54,149.65
575,2002/03,S12000040,SMR04, ,632.91,383.49
576,2002/03,S12000040,Total,d,832.45,514.44
577,2003/04,S12000033,SMR01, ,183.96,140.96
578,2003/04,S12000033,SMR04, ,539.95,358.37
579,2003/04,S12000033,Total,d,721.52,487.39
580,2003/04,S12000034,SMR01, ,127.57,105.95
581,2003/04,S12000034,SMR04, ,332.97,242.16
582,2003/04,S12000034,Total,d,460.54,337.3
583,2003/04,S12000041,SMR01, ,110.4,87.4
584,2003/04,S12000041,SMR04, ,478.38,354.19
585,2003/04,S12000041,Total,d,588.78,427.78
586,2003/04,S12000035,SMR01, ,467.39,351.92
587,2003/04,S12000035,SMR04, ,593.86,428.9
588,2003/04,S12000035,Total,d,1061.26,709.34
589,2003/04,S12000036,SMR01, ,188.64,131.37
590,2003/04,S12000036,SMR04, ,607.46,406.47
591,2003/04,S12000036,Total,d,796.09,519.87
592,2003/04,S12000005,SMR01, ,114.25,103.86
593,2003/04,S12000005,SMR04, ,592.02,373.91
594,2003/04,S12000005,Total,d,706.27,467.39
595,2003/04,S12000006,SMR01, ,142.03,114.97
596,2003/04,S12000006,SMR04, ,530.91,365.21
597,2003/04,S12000006,Total,d,672.93,459.89
598,2003/04,S12000042,SMR01, ,152.69,138.81
599,2003/04,S12000042,SMR04, ,652.42,458.08
600,2003/04,S12000042,Total,d,805.11,579.54
601,2003/04,S12000008,SMR01, ,171.05,146.02
602,2003/04,S12000008,SMR04, ,521.49,371.3
603,2003/04,S12000008,Total,d,688.36,500.63
604,2003/04,S12000045,SMR01, ,102.8,74.77
605,2003/04,S12000045,SMR04, ,331.78,252.34
606,2003/04,S12000045,Total,d,434.58,322.43
607,2003/04,S12000010,SMR01, ,136.4,103.67
608,2003/04,S12000010,SMR04, ,567.44,354.65
609,2003/04,S12000010,Total,d,703.84,447.4
610,2003/04,S12000011,SMR01, ,161.34,105.71
611,2003/04,S12000011,SMR04, ,272.62,211.42
612,2003/04,S12000011,Total,d,433.96,311.56
613,2003/04,S12000014,SMR01, ,129.43,105.59
614,2003/04,S12000014,SMR04, ,453,306.54
615,2003/04,S12000014,Total,d,582.43,395.1
616,2003/04,S12000047,SMR01, ,101.04,79.69
617,2003/04,S12000047,SMR04, ,473.87,317.34
618,2003/04,S12000047,Total,d,574.91,389.91
619,2003/04,S12000049,SMR01, ,296.19,199.21
620,2003/04,S12000049,SMR04, ,644.8,458.7
621,2003/04,S12000049,Total,d,940.99,640.43
622,2003/04,S12000017,SMR01, ,300.04,224.44
623,2003/04,S12000017,SMR04, ,567,413.44
624,2003/04,S12000017,Total,d,867.04,604.8
625,2003/04,S12000018,SMR01, ,354.14,294.12
626,2003/04,S12000018,SMR04, ,894.36,612.24
627,2003/04,S12000018,Total,d,1248.5,870.35
628,2003/04,S12000019,SMR01, ,199.3,143.25
629,2003/04,S12000019,SMR04, ,485.8,348.78
630,2003/04,S12000019,Total,d,691.33,473.34
631,2003/04,S12000020,SMR01, ,242.04,191.38
632,2003/04,S12000020,SMR04, ,450.3,337.72
633,2003/04,S12000020,Total,d,692.33,506.59
634,2003/04,S12000013,SMR01, ,832.39,643.21
635,2003/04,S12000013,SMR04, ,737.8,435.11
636,2003/04,S12000013,Total,d,1589.1,1002.65
637,2003/04,S12000021,SMR01, ,216.42,172.4
638,2003/04,S12000021,SMR04, ,542.88,366.81
639,2003/04,S12000021,Total,d,759.3,520.87
640,2003/04,S12000050,SMR01, ,214.7,145.2
641,2003/04,S12000050,SMR04, ,509.73,366.08
642,2003/04,S12000050,Total,d,722.89,494.28
643,2003/04,S12000023,SMR01, ,383.83,307.06
644,2003/04,S12000023,SMR04, ,204.71,127.94
645,2003/04,S12000023,Total,d,588.54,383.83
646,2003/04,S12000048,SMR01, ,128.71,110.33
647,2003/04,S12000048,SMR04, ,628.86,444.98
648,2003/04,S12000048,Total,d,757.58,533.25
649,2003/04,S12000038,SMR01, ,206.92,174.87
650,2003/04,S12000038,SMR04, ,699.46,489.62
651,2003/04,S12000038,Total,d,906.39,638.26
652,2003/04,S12000026,SMR01, ,249.1,207.58
653,2003/04,S12000026,SMR04, ,719.62,442.85
654,2003/04,S12000026,Total,d,968.72,622.75
655,2003/04,S12000027,SMR01, ,387.24,318.91
656,2003/04,S12000027,SMR04, ,205.01,136.67
657,2003/04,S12000027,Total,d,592.26,364.46
658,2003/04,S12000028,SMR01, ,304.8,233.08
659,2003/04,S12000028,SMR04, ,560.29,398.92
660,2003/04,S12000028,Total,d,865.08,605.11
661,2003/04,S12000029,SMR01, ,168.05,113.68
662,2003/04,S12000029,SMR04, ,499.21,349.28
663,2003/04,S12000029,Total,d,665.61,449.78
664,2003/04,S12000030,SMR01, ,103.34,97.6
665,2003/04,S12000030,SMR04, ,476.52,315.77
666,2003/04,S12000030,Total,d,579.86,407.62
667,2003/04,S12000039,SMR01, ,210.88,156.81
668,2003/04,S12000039,SMR04, ,600.19,389.32
669,2003/04,S12000039,Total,d,811.07,529.9
670,2003/04,S12000040,SMR01, ,163.89,120.6
671,2003/04,S12000040,SMR04, ,587.54,389.63
672,2003/04,S12000040,Total,d,751.44,491.68
673,2004/05,S12000033,SMR01, ,146.76,122.7
674,2004/05,S12000033,SMR04, ,473.97,324.8
675,2004/05,S12000033,Total,d,620.73,440.28
676,2004/05,S12000034,SMR01, ,121.44,102.26
677,2004/05,S12000034,SMR04, ,304.66,230.09
678,2004/05,S12000034,Total,d,426.09,319.57
679,2004/05,S12000041,SMR01, ,99.85,77.15
680,2004/05,S12000041,SMR04, ,426.61,331.31
681,2004/05,S12000041,Total,d,521.92,399.38
682,2004/05,S12000035,SMR01, ,386.4,298.08
683,2004/05,S12000035,SMR04, ,502.32,358.8
684,2004/05,S12000035,Total,d,888.72,607.2
685,2004/05,S12000036,SMR01, ,176.06,127.84
686,2004/05,S12000036,SMR04, ,588.74,382.4
687,2004/05,S12000036,Total,d,764.8,494.54
688,2004/05,S12000005,SMR01, ,71.9,61.63
689,2004/05,S12000005,SMR04, ,575.18,380.03
690,2004/05,S12000005,Total,d,647.08,431.39
691,2004/05,S12000006,SMR01, ,144.59,121.05
692,2004/05,S12000006,SMR04, ,484.2,336.25
693,2004/05,S12000006,Total,d,628.78,443.85
694,2004/05,S12000042,SMR01, ,153.74,136.27
695,2004/05,S12000042,SMR04, ,607.97,436.76
696,2004/05,S12000042,Total,d,761.71,562.54
697,2004/05,S12000008,SMR01, ,220.45,166.38
698,2004/05,S12000008,SMR04, ,574,395.14
699,2004/05,S12000008,Total,d,794.44,536.56
700,2004/05,S12000045,SMR01, ,103.25,84.48
701,2004/05,S12000045,SMR04, ,319.13,220.57
702,2004/05,S12000045,Total,d,427.07,295.66
703,2004/05,S12000010,SMR01, ,113.92,92.22
704,2004/05,S12000010,SMR04, ,591.3,379.73
705,2004/05,S12000010,Total,d,705.22,461.1
706,2004/05,S12000011,SMR01, ,178.19,111.37
707,2004/05,S12000011,SMR04, ,322.98,256.15
708,2004/05,S12000011,Total,d,501.17,356.39
709,2004/05,S12000014,SMR01, ,114.63,94.4
710,2004/05,S12000014,SMR04, ,488.87,323.67
711,2004/05,S12000014,Total,d,606.88,407.96
712,2004/05,S12000047,SMR01, ,94.89,72.23
713,2004/05,S12000047,SMR04, ,477.27,327.15
714,2004/05,S12000047,Total,d,572.16,389.46
715,2004/05,S12000049,SMR01, ,261.61,181.72
716,2004/05,S12000049,SMR04, ,619.78,432.79
717,2004/05,S12000049,Total,d,880.5,596.95
718,2004/05,S12000017,SMR01, ,340.23,230.7
719,2004/05,S12000017,SMR04, ,542.97,405.48
720,2004/05,S12000017,Total,d,883.2,596.57
721,2004/05,S12000018,SMR01, ,290.24,247.91
722,2004/05,S12000018,SMR04, ,882.82,628.85
723,2004/05,S12000018,Total,d,1173.06,840.49
724,2004/05,S12000019,SMR01, ,155.8,105.95
725,2004/05,S12000019,SMR04, ,473.64,342.76
726,2004/05,S12000019,Total,d,629.44,430.01
727,2004/05,S12000020,SMR01, ,201.39,173.42
728,2004/05,S12000020,SMR04, ,430.75,307.68
729,2004/05,S12000020,Total,d,632.13,464.31
730,2004/05,S12000013,SMR01, ,731.71,562.85
731,2004/05,S12000013,SMR04, ,619.14,394
732,2004/05,S12000013,Total,d,1350.84,900.56
733,2004/05,S12000021,SMR01, ,230.77,161.17
734,2004/05,S12000021,SMR04, ,494.51,340.66
735,2004/05,S12000021,Total,d,728.94,472.53
736,2004/05,S12000050,SMR01, ,192.07,132.15
737,2004/05,S12000050,SMR04, ,528.58,376.46
738,2004/05,S12000050,Total,d,720.65,490.17
739,2004/05,S12000023,SMR01, ,428.64,327.79
740,2004/05,S12000023,SMR04, ,151.29,100.86
741,2004/05,S12000023,Total,d,579.93,378.21
742,2004/05,S12000048,SMR01, ,91.31,80.35
743,2004/05,S12000048,SMR04, ,562.45,379.84
744,2004/05,S12000048,Total,d,653.76,445.58
745,2004/05,S12000038,SMR01, ,166.21,139.97
746,2004/05,S12000038,SMR04, ,626.93,451.97
747,2004/05,S12000038,Total,d,793.14,577.36
748,2004/05,S12000026,SMR01, ,251.26,191.87
749,2004/05,S12000026,SMR04, ,730.93,456.83
750,2004/05,S12000026,Total,d,982.18,625.86
751,2004/05,S12000027,SMR01, ,316.89,248.98
752,2004/05,S12000027,SMR04, ,181.08,90.54
753,2004/05,S12000027,Total,d,497.96,294.25
754,2004/05,S12000028,SMR01, ,312.95,245.89
755,2004/05,S12000028,SMR04, ,590.13,411.3
756,2004/05,S12000028,Total,d,903.08,625.89
757,2004/05,S12000029,SMR01, ,186.48,119.41
758,2004/05,S12000029,SMR04, ,479.29,340.25
759,2004/05,S12000029,Total,d,665.77,446.57
760,2004/05,S12000030,SMR01, ,132.31,120.8
761,2004/05,S12000030,SMR04, ,425.68,299.13
762,2004/05,S12000030,Total,d,557.98,402.67
763,2004/05,S12000039,SMR01, ,271.86,217.49
764,2004/05,S12000039,SMR04, ,521.97,347.98
765,2004/05,S12000039,Total,d,793.82,554.59
766,2004/05,S12000040,SMR01, ,168.15,131.47
767,2004/05,S12000040,SMR04, ,660.39,385.23
768,2004/05,S12000040,Total,d,828.54,498.35
769,2005/06,S12000033,SMR01, ,134.17,107.82
770,2005/06,S12000033,SMR04, ,443.24,311.47
771,2005/06,S12000033,Total,d,577.41,414.49
772,2005/06,S12000034,SMR01, ,122.07,101.02
773,2005/06,S12000034,SMR04, ,265.18,214.67
774,2005/06,S12000034,Total,d,387.25,305.17
775,2005/06,S12000041,SMR01, ,76.34,67.36
776,2005/06,S12000041,SMR04, ,485,345.79
777,2005/06,S12000041,Total,d,561.34,399.68
778,2005/06,S12000035,SMR01, ,431.7,343.15
779,2005/06,S12000035,SMR04, ,426.17,304.41
780,2005/06,S12000035,Total,d,857.87,614.35
781,2005/06,S12000036,SMR01, ,202.46,140.17
782,2005/06,S12000036,SMR04, ,529.51,359.31
783,2005/06,S12000036,Total,d,731.97,483.9
784,2005/06,S12000005,SMR01, ,101.71,81.37
785,2005/06,S12000005,SMR04, ,447.52,294.96
786,2005/06,S12000005,Total,d,559.4,376.32
787,2005/06,S12000006,SMR01, ,133.67,103.6
788,2005/06,S12000006,SMR04, ,457.83,330.84
789,2005/06,S12000006,Total,d,591.5,421.07
790,2005/06,S12000042,SMR01, ,146.24,139.28
791,2005/06,S12000042,SMR04, ,581.48,417.83
792,2005/06,S12000042,Total,d,727.72,543.18
793,2005/06,S12000008,SMR01, ,191.22,153.81
794,2005/06,S12000008,SMR04, ,532.09,365.81
795,2005/06,S12000008,Total,d,723.31,502.99
796,2005/06,S12000045,SMR01, ,89.59,66.01
797,2005/06,S12000045,SMR04, ,315.92,216.9
798,2005/06,S12000045,Total,d,405.51,278.2
799,2005/06,S12000010,SMR01, ,172.54,113.23
800,2005/06,S12000010,SMR04, ,587.73,377.44
801,2005/06,S12000010,Total,d,760.27,474.5
802,2005/06,S12000011,SMR01, ,161.33,105.7
803,2005/06,S12000011,SMR04, ,344.9,255.9
804,2005/06,S12000011,Total,d,511.79,350.47
805,2005/06,S12000014,SMR01, ,86.59,66.61
806,2005/06,S12000014,SMR04, ,469.59,309.73
807,2005/06,S12000014,Total,d,556.18,373.01
808,2005/06,S12000047,SMR01, ,94.24,73.14
809,2005/06,S12000047,SMR04, ,499.35,346.03
810,2005/06,S12000047,Total,d,593.6,412.14
811,2005/06,S12000049,SMR01, ,274.04,181.82
812,2005/06,S12000049,SMR04, ,609.57,433.9
813,2005/06,S12000049,Total,d,883.62,596.4
814,2005/06,S12000017,SMR01, ,304.96,210.95
815,2005/06,S12000017,SMR04, ,495.28,373.75
816,2005/06,S12000017,Total,d,800.24,557.19
817,2005/06,S12000018,SMR01, ,314.47,247.94
818,2005/06,S12000018,SMR04, ,822.45,592.65
819,2005/06,S12000018,Total,d,1136.91,804.31
820,2005/06,S12000019,SMR01, ,143.66,99.94
821,2005/06,S12000019,SMR04, ,443.47,306.06
822,2005/06,S12000019,Total,d,587.13,387.26
823,2005/06,S12000020,SMR01, ,166.48,133.19
824,2005/06,S12000020,SMR04, ,405.11,316.32
825,2005/06,S12000020,Total,d,571.59,438.4
826,2005/06,S12000013,SMR01, ,798.37,612.7
827,2005/06,S12000013,SMR04, ,631.27,445.6
828,2005/06,S12000013,Total,d,1429.63,1021.17
829,2005/06,S12000021,SMR01, ,190.21,153.63
830,2005/06,S12000021,SMR04, ,501.13,351.16
831,2005/06,S12000021,Total,d,691.35,490.16
832,2005/06,S12000050,SMR01, ,203.28,137.56
833,2005/06,S12000050,SMR04, ,461.58,314.85
834,2005/06,S12000050,Total,d,664.85,434.06
835,2005/06,S12000023,SMR01, ,224.22,199.3
836,2005/06,S12000023,SMR04, ,149.48,124.56
837,2005/06,S12000023,Total,d,373.69,274.04
838,2005/06,S12000048,SMR01, ,90.54,79.68
839,2005/06,S12000048,SMR04, ,503.4,358.54
840,2005/06,S12000048,Total,d,593.94,423.73
841,2005/06,S12000038,SMR01, ,183.75,151.67
842,2005/06,S12000038,SMR04, ,624.16,428.75
843,2005/06,S12000038,Total,d,807.91,562.91
844,2005/06,S12000026,SMR01, ,272.11,199.55
845,2005/06,S12000026,SMR04, ,575.96,376.42
846,2005/06,S12000026,Total,d,852.61,548.75
847,2005/06,S12000027,SMR01, ,269.66,202.25
848,2005/06,S12000027,SMR04, ,134.83,89.89
849,2005/06,S12000027,Total,d,404.49,247.19
850,2005/06,S12000028,SMR01, ,294.56,227.62
851,2005/06,S12000028,SMR04, ,548.96,388.29
852,2005/06,S12000028,Total,d,843.52,580.2
853,2005/06,S12000029,SMR01, ,169.46,105.91
854,2005/06,S12000029,SMR04, ,454.62,325.89
855,2005/06,S12000029,Total,d,624.08,420.4
856,2005/06,S12000030,SMR01, ,102.85,85.7
857,2005/06,S12000030,SMR04, ,399.95,274.25
858,2005/06,S12000030,Total,d,502.8,354.25
859,2005/06,S12000039,SMR01, ,240.36,174.81
860,2005/06,S12000039,SMR04, ,524.42,333.22
861,2005/06,S12000039,Total,d,764.78,486.18
862,2005/06,S12000040,SMR01, ,154.54,124.23
863,2005/06,S12000040,SMR04, ,672.69,396.95
864,2005/06,S12000040,Total,d,830.25,499.97
865,2006/07,S12000033,SMR01, ,155.04,124.03
866,2006/07,S12000033,SMR04, ,415.02,305.3
867,2006/07,S12000033,Total,d,570.05,415.02
868,2006/07,S12000034,SMR01, ,101.58,87.07
869,2006/07,S12000034,SMR04, ,290.24,230.12
870,2006/07,S12000034,Total,d,391.82,304.75
871,2006/07,S12000041,SMR01, ,80,71.11
872,2006/07,S12000041,SMR04, ,413.33,297.78
873,2006/07,S12000041,Total,d,493.33,364.44
874,2006/07,S12000035,SMR01, ,445.74,319.17
875,2006/07,S12000035,SMR04, ,423.73,302.66
876,2006/07,S12000035,Total,d,869.47,583.31
877,2006/07,S12000036,SMR01, ,224.54,144.9
878,2006/07,S12000036,SMR04, ,495.53,339.57
879,2006/07,S12000036,Total,d,720.07,466.77
880,2006/07,S12000005,SMR01, ,100.93,70.65
881,2006/07,S12000005,SMR04, ,484.46,322.97
882,2006/07,S12000005,Total,d,585.39,383.53
883,2006/07,S12000006,SMR01, ,156.91,130.2
884,2006/07,S12000006,SMR04, ,423.98,317.15
885,2006/07,S12000006,Total,d,580.89,430.66
886,2006/07,S12000042,SMR01, ,97.66,90.68
887,2006/07,S12000042,SMR04, ,505.72,373.19
888,2006/07,S12000042,Total,d,603.38,460.38
889,2006/07,S12000008,SMR01, ,220.03,178.51
890,2006/07,S12000008,SMR04, ,452.51,344.57
891,2006/07,S12000008,Total,d,672.53,506.48
892,2006/07,S12000045,SMR01, ,132.59,89.97
893,2006/07,S12000045,SMR04, ,317.26,217.82
894,2006/07,S12000045,Total,d,449.85,303.06
895,2006/07,S12000010,SMR01, ,154.5,111.88
896,2006/07,S12000010,SMR04, ,516.78,335.64
897,2006/07,S12000010,Total,d,671.28,436.87
898,2006/07,S12000011,SMR01, ,206.13,128.13
899,2006/07,S12000011,SMR04, ,300.84,211.7
900,2006/07,S12000011,Total,d,506.96,334.26
901,2006/07,S12000014,SMR01, ,95.97,66.19
902,2006/07,S12000014,SMR04, ,397.11,274.67
903,2006/07,S12000014,Total,d,493.08,330.93
904,2006/07,S12000047,SMR01, ,117.56,85.37
905,2006/07,S12000047,SMR04, ,443.65,305.1
906,2006/07,S12000047,Total,d,561.22,376.48
907,2006/07,S12000049,SMR01, ,325.44,216.37
908,2006/07,S12000049,SMR04, ,579.64,412.52
909,2006/07,S12000049,Total,d,905.08,609.54
910,2006/07,S12000017,SMR01, ,346.5,219.68
911,2006/07,S12000017,SMR04, ,452.94,341.97
912,2006/07,S12000017,Total,d,799.44,527.67
913,2006/07,S12000018,SMR01, ,358.36,297.62
914,2006/07,S12000018,SMR04, ,753.16,552.72
915,2006/07,S12000018,Total,d,1111.52,813.9
916,2006/07,S12000019,SMR01, ,218.78,131.27
917,2006/07,S12000019,SMR04, ,368.8,262.53
918,2006/07,S12000019,Total,d,587.57,381.3
919,2006/07,S12000020,SMR01, ,181.76,143.2
920,2006/07,S12000020,SMR04, ,358.01,275.39
921,2006/07,S12000020,Total,d,545.27,407.58
922,2006/07,S12000013,SMR01, ,868.44,646.71
923,2006/07,S12000013,SMR04, ,443.46,332.59
924,2006/07,S12000013,Total,d,1311.9,923.87
925,2006/07,S12000021,SMR01, ,182.76,153.52
926,2006/07,S12000021,SMR04, ,442.28,303.38
927,2006/07,S12000021,Total,d,625.05,442.28
928,2006/07,S12000050,SMR01, ,246.4,156.66
929,2006/07,S12000050,SMR04, ,491.27,325.49
930,2006/07,S12000050,Total,d,737.67,460.85
931,2006/07,S12000023,SMR01, ,245.82,172.07
932,2006/07,S12000023,SMR04, ,147.49,122.91
933,2006/07,S12000023,Total,d,393.31,245.82
934,2006/07,S12000048,SMR01, ,125.56,104.03
935,2006/07,S12000048,SMR04, ,556.03,405.37
936,2006/07,S12000048,Total,d,681.59,484.29
937,2006/07,S12000038,SMR01, ,268.58,218.95
938,2006/07,S12000038,SMR04, ,586.79,402.87
939,2006/07,S12000038,Total,d,852.46,595.55
940,2006/07,S12000026,SMR01, ,293.16,230.02
941,2006/07,S12000026,SMR04, ,739.67,392.39
942,2006/07,S12000026,Total,d,1032.83,595.35
943,2006/07,S12000027,SMR01, ,337.69,270.15
944,2006/07,S12000027,SMR04, ,180.1,135.07
945,2006/07,S12000027,Total,d,517.78,337.69
946,2006/07,S12000028,SMR01, ,272.08,227.48
947,2006/07,S12000028,SMR04, ,530.78,365.74
948,2006/07,S12000028,Total,d,802.85,557.54
949,2006/07,S12000029,SMR01, ,186.42,119.95
950,2006/07,S12000029,SMR04, ,429.57,298.27
951,2006/07,S12000029,Total,d,617.6,405.25
952,2006/07,S12000030,SMR01, ,107.84,90.82
953,2006/07,S12000030,SMR04, ,391.64,272.45
954,2006/07,S12000030,Total,d,499.49,351.91
955,2006/07,S12000039,SMR01, ,262.55,191.45
956,2006/07,S12000039,SMR04, ,475.88,311.78
957,2006/07,S12000039,Total,d,732.96,486.82
958,2006/07,S12000040,SMR01, ,191.49,149.6
959,2006/07,S12000040,SMR04, ,535.58,338.1
960,2006/07,S12000040,Total,d,727.07,463.77
961,2007/08,S12000033,SMR01, ,183.56,134.14
962,2007/08,S12000033,SMR04, ,390.64,277.69
963,2007/08,S12000033,Total,d,574.2,397.7
964,2007/08,S12000034,SMR01, ,118.66,96.16
965,2007/08,S12000034,SMR04, ,278.24,208.68
966,2007/08,S12000034,Total,d,398.95,298.7
967,2007/08,S12000041,SMR01, ,74.86,70.46
968,2007/08,S12000041,SMR04, ,471.2,325.88
969,2007/08,S12000041,Total,d,546.06,383.12
970,2007/08,S12000035,SMR01, ,468.11,341.45
971,2007/08,S12000035,SMR04, ,418.55,324.93
972,2007/08,S12000035,Total,d,886.66,633.33
973,2007/08,S12000036,SMR01, ,251.07,156.78
974,2007/08,S12000036,SMR04, ,470.35,337.69
975,2007/08,S12000036,Total,d,721.43,475.84
976,2007/08,S12000005,SMR01, ,108.7,88.93
977,2007/08,S12000005,SMR04, ,454.55,286.56
978,2007/08,S12000005,Total,d,563.24,375.49
979,2007/08,S12000006,SMR01, ,199.51,149.63
980,2007/08,S12000006,SMR04, ,399.02,299.26
981,2007/08,S12000006,Total,d,598.52,432.27
982,2007/08,S12000042,SMR01, ,142.66,121.78
983,2007/08,S12000042,SMR04, ,455.81,347.95
984,2007/08,S12000042,Total,d,598.47,459.29
985,2007/08,S12000008,SMR01, ,231.5,190.16
986,2007/08,S12000008,SMR04, ,463,318.31
987,2007/08,S12000008,Total,d,690.37,479.54
988,2007/08,S12000045,SMR01, ,118.99,90.43
989,2007/08,S12000045,SMR04, ,309.38,228.46
990,2007/08,S12000045,Total,d,428.37,309.38
991,2007/08,S12000010,SMR01, ,156.95,120.33
992,2007/08,S12000010,SMR04, ,429,313.91
993,2007/08,S12000010,Total,d,580.73,418.54
994,2007/08,S12000011,SMR01, ,200.36,133.57
995,2007/08,S12000011,SMR04, ,322.8,217.05
996,2007/08,S12000011,Total,d,523.15,339.49
997,2007/08,S12000014,SMR01, ,108.32,82.06
998,2007/08,S12000014,SMR04, ,393.91,269.17
999,2007/08,S12000014,Total,d,498.95,344.67
1000,2007/08,S12000047,SMR01, ,175.61,117.08
1001,2007/08,S12000047,SMR04, ,461.34,312.2
1002,2007/08,S12000047,Total,d,635.56,412.56
1003,2007/08,S12000049,SMR01, ,368.16,229.12
1004,2007/08,S12000049,SMR04, ,550.06,399.64
1005,2007/08,S12000049,Total,d,919.09,608.65
1006,2007/08,S12000017,SMR01, ,348.21,225.45
1007,2007/08,S12000017,SMR04, ,446.43,352.68
1008,2007/08,S12000017,Total,d,794.64,553.57
1009,2007/08,S12000018,SMR01, ,414.08,316.65
1010,2007/08,S12000018,SMR04, ,669.83,517.6
1011,2007/08,S12000018,Total,d,1090,785.53
1012,2007/08,S12000019,SMR01, ,205.3,136.87
1013,2007/08,S12000019,SMR04, ,342.17,236.41
1014,2007/08,S12000019,Total,d,547.47,348.39
1015,2007/08,S12000020,SMR01, ,213.25,158.57
1016,2007/08,S12000020,SMR04, ,339.02,251.53
1017,2007/08,S12000020,Total,d,552.27,388.23
1018,2007/08,S12000013,SMR01, ,569.64,459.39
1019,2007/08,S12000013,SMR04, ,422.64,312.39
1020,2007/08,S12000013,Total,d,992.28,735.02
1021,2007/08,S12000021,SMR01, ,203.75,152.82
1022,2007/08,S12000021,SMR04, ,451.17,312.91
1023,2007/08,S12000021,Total,d,658.56,451.17
1024,2007/08,S12000050,SMR01, ,372.93,211.38
1025,2007/08,S12000050,SMR04, ,437.85,298.95
1026,2007/08,S12000050,Total,d,810.79,489.19
1027,2007/08,S12000023,SMR01, ,267.25,242.95
1028,2007/08,S12000023,SMR04, ,170.07,145.77
1029,2007/08,S12000023,Total,d,461.61,340.14
1030,2007/08,S12000048,SMR01, ,138.16,113.36
1031,2007/08,S12000048,SMR04, ,559.73,389.68
1032,2007/08,S12000048,Total,d,694.35,488.88
1033,2007/08,S12000038,SMR01, ,247.28,180.37
1034,2007/08,S12000038,SMR04, ,544.02,384.01
1035,2007/08,S12000038,Total,d,788.39,541.11
1036,2007/08,S12000026,SMR01, ,249.55,182.71
1037,2007/08,S12000026,SMR04, ,650.62,387.7
1038,2007/08,S12000026,Total,d,895.72,552.58
1039,2007/08,S12000027,SMR01, ,313.2,246.09
1040,2007/08,S12000027,SMR04, ,178.97,156.6
1041,2007/08,S12000027,Total,d,514.54,335.57
1042,2007/08,S12000028,SMR01, ,275.85,226.91
1043,2007/08,S12000028,SMR04, ,551.7,382.63
1044,2007/08,S12000028,Total,d,827.55,582.84
1045,2007/08,S12000029,SMR01, ,196.54,124.05
1046,2007/08,S12000029,SMR04, ,441.41,293.2
1047,2007/08,S12000029,Total,d,637.95,405.97
1048,2007/08,S12000030,SMR01, ,113.08,84.81
1049,2007/08,S12000030,SMR04, ,356.21,231.82
1050,2007/08,S12000030,Total,d,469.3,305.33
1051,2007/08,S12000039,SMR01, ,251.72,169.64
1052,2007/08,S12000039,SMR04, ,487.03,317.39
1053,2007/08,S12000039,Total,d,738.75,476.09
1054,2007/08,S12000040,SMR01, ,247.83,188.82
1055,2007/08,S12000040,SMR04, ,507.46,324.54
1056,2007/08,S12000040,Total,d,755.3,483.86
